Country	intercept	NumDisaster	SE(intercept)	SE(NumDisaster)	p-value (NumDisaster)
Afghanistan	80530.90625	-6729.84375	62422.2416010277	7940.45013366341	0.45895631133239
Algeria	419217.029126213	-76552.7475728155	162182.706725632	47677.2343279271	0.169259648818159
Argentina	351650.606060606	9989.2424242424	398592.670473352	77744.4538314592	0.902770887183268
Bangladesh	2029367.34693878	-58775.5102040816	2197180.47382752	217022.018318001	0.811913960093924
Belize	162458.5	-16305	281415.084414908	177982.526935933	0.935357350484893
Bolivia	-31064.5161290323	53838.7096774194	237992.543539576	71295.9843029853	0.484193963355203
Bosnia-Hercegovenia	175000	-17500	166509.759473732	61487.8036686952	0.823479496132863
Brazil	1188706.21495327	-81929.2056074767	685511.182191867	110545.406842714	0.477502209664315
Bulgaria	-577375.285714286	129175.285714286	653987.041865337	112711.721687567	0.456736450596727
Cambodia	662966.666666667	-322466.666666667	226332.485679971	135259.531053234	0.0972609451484507
Canada	2466890.4109589	-334712.328767123	867354.096724572	205253.441456835	0.163876627861759
Chile	23429664.8648649	-5622093.24324324	11212891.1194137	3045502.38836896	0.107390598460905
China P Rep	-3801619.79508195	804003.844262294	40634971.9281467	1478718.15399858	0.596593340229522
Colombia	2340750	-295062.5	1198873.87843296	202070.150987569	0.240357952213532
Costa Rica	217000	-77500	91260.0451092006	43839.9076185158	0.151829452629046
Cuba	-702286.150943397	690285.641509434	1187171.32655826	385169.239439946	0.147578650243972
Czech Rep	676179.999999998	98780.0000000006	3897459.17751553	1253554.4514699	0.949937856118932
Dominican Rep	-50387.0175438598	42364.052631579	129102.550588686	34711.3417475611	0.28931474330908
Ecuador	654945	-139550	364121.845903656	105999.967486518	0.279546936029639
El Salvador	1034939.39393939	-56593.9393939394	840242.871387225	222977.30619654	0.816043081756796
France	808943.269230769	207690.384615385	2578513.48213239	531906.717847219	0.709679780496779
Georgia	456000	-181000	183711.730708738	129903.810567666	0.396300297189462
Germany	-6612000.00000001	2647538.46153846	11762213.8810946	2526928.89356549	0.485163973427324
Greece	1116954.42105263	-124068.157894737	1992173.57811985	454058.498740396	0.810296695870875
Guatemala	290105.753846154	23580.2923076922	889280.516965144	177266.197610776	0.900599631234192
Haiti	-841017.510729615	462159.484978541	2911509.10039133	533049.15790988	0.434850122683187
Honduras	-21716.2307692308	22918.8461538462	31521.770076296	8539.69463709855	0.0363515419755947
Hungary	446666.666666667	-211666.666666667	257976.456002969	154170.420374722	0.263396669446708
India	-749364.700526835	166989.652453079	1483509.18812789	80354.6551483622	0.0618948176168413
Indonesia	-348.579044798311	79507.4472417623	1681447.76936792	115540.714906932	0.504453965866483
Iran Islam Rep	54025.3842592592	22934.0694444444	196367.122564596	32090.3963105325	0.497947056835077
Italy	5121638.84210526	118432.855263158	7213768.78126012	1414736.45316122	0.937306205954519
Jamaica	503632.352941177	-119620.470588235	487096.959535505	214294.091554664	0.606470326322425
Japan	-14663614.4329897	5847922.16494845	54253897.0192807	7685479.52226784	0.464277888745101
Kazakhstan	118403.333333333	-50182.6666666667	70062.6424301589	47236.2238902244	0.366005328814642
Kenya	79578.170212766	-8492.25531914894	53138.5389559529	12455.8656520288	0.544291692808913
Korea Dem P Rep	7045483.33333334	-2994300	2491152.77037504	1196711.08189975	0.0666163516375323
Korea Rep	2210570.33333333	-234103.833333333	1554634.71943653	353569.661785402	0.529084821134439
Madagascar	274409.5	-46036.5	138503.309435792	35761.4007226289	0.245406833191113
Malaysia	664473.684210527	-68052.6315789474	1113928.28760064	253887.819579333	0.813780883688131
Mexico	53820.7259953154	240883.489461358	2500259.49938369	346980.345980616	0.501937874508606
Moldova Rep	387156	-183740	320867.803121472	202934.617135668	0.460811926004639
Mongolia	-32275.3333333333	39865	27387.6848520563	12678.034561135	0.196021366604803
Morocco	149249.636363636	-52141.3636363636	116520.478610677	60170.9164201691	0.477535156154071
Mozambique	-189244.444444445	60522.2222222222	159440.666621911	30131.4537679953	0.114981618782339
Myanmar	7858960.5	-3858960.5	497055.688534243	269566.295187752	0.000738719396452551
Nepal	-3326.96268656716	4499.30597014925	23036.1258496568	5176.98429317485	0.448741416341577
Nicaragua	1028.57142857143	-3.57142857142847	66.0472928889532	18.5576872239522	0.878962281676326
Nigeria	168601.590909091	-16212.541958042	140051.105024906	21428.9043172314	0.483409266896817
Pakistan	1565132.91588785	174792.448598131	3171436.49825614	425227.171803416	0.695309042831252
Panama	12333.3333333333	-3250	7795.11955577904	3608.43918243516	0.533241098729765
Paraguay	39077.1428571429	-10051.4285714286	4967.90186895755	1687.51235823139	0.105893158110232
Peru	214330.952380952	21421.4285714286	506148.725196597	111337.875482725	0.87899291361204
Philippines	-216932.701769345	37046.6704327436	228241.515503347	12829.442515493	0.0136360392322128
Poland	744100	15385.7142857142	2624882.89861254	905670.642819621	0.987512686556946
Puerto Rico	294666.666666667	-23000.0000000001	470201.611604592	217661.051484489	0.932977816452081
Romania	-633425	208295	459321.466404522	77639.4983239846	0.115379318799951
Russia	835253.30241363	-6733.81590156174	628190.855674674	59600.8357807675	0.912524895202709
South Africa	289811.314371257	-24560.4580838323	101275.82144737	19700.1226596369	0.267721024273984
Spain	434539.666666667	-60190.5	254779.125717966	88852.4152977847	0.519892292110592
Sri Lanka	-20648.1481481481	99087.9629629629	393873.706830373	129504.877058241	0.473206027489196
Sudan	-56000.0000000001	93428.5714285714	81177.0551677893	30682.0428769345	0.202002617196256
Switzerland	1290000	-210000	1282302.61638975	468230.71236304	0.697702444584076
Taiwan (China)	-102959.191919192	106227.424242424	233633.462784008	63456.5395609414	0.138040016323134
Tajikistan	219901.393939394	-35332.8888888889	197277.106482016	60489.514819398	0.573489425841679
Thailand	20470.3407407443	685894.18148148	14937325.3941631	2561730.17091224	0.794929555721587
Turkey	1282125	-183875	886050.727596902	181405.049199299	0.357275956496308
Ukraine	-81764.6875	240540.520833333	597318.37420822	253059.468087847	0.385493133682568
United Kingdom	-1746655.55555555	1116513.88888889	3612929.82762039	845722.903527617	0.234898529999282
United States	56394005.6092025	-876205.10780976	41469596.9857309	1779747.80649758	0.631377028955633
Venezuela	47000	8166.66666666667	76935.0375316735	28671.9956287199	0.794304683913167
Viet Nam	201327.321814255	38106.651187905	352502.954931617	44657.2451653176	0.41168133613668
Zimbabwe	116430	-13430	184253.480428458	50147.4455979564	0.81393639844784
